url,parenturl,depth
http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSA0000006,http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSA0000007,101
http://www.chcedo.com/product/productdetail.htm?pid=11717H4Nq0000002,http://www.chcedo.com/product/productdetail.htm?pid=11717H4Nr0000003,11
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GHNb0000098",http://www.chcedo.com/bestseller/bestsellerMakeup.htm,7
http://www.chcedo.com/product/productdetail.htm?pid=11717GHNd0000100,http://www.chcedo.com/product/productdetail.htm?pid=11717GHNA0000119,24
http://www.chcedo.com/product/productdetail.htm?pid=16617FNTI0000009,http://www.chcedo.com/product/productdetail.htm?pid=16617FNTA0000001,20
http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSI0000015,http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSI0000016,124
http://www.chcedo.com/product/productdetail.htm?pid=11717GFPU0000014,http://www.chcedo.com/product/productdetail.htm?pid=11717GFPT0000012,11
"http://www.chcedo.com/product/productdetail.htm?pid=	11717GFO50000025",http://www.chcedo.com/bestseller/bestsellerAward.htm,8
http://www.chcedo.com/hufu/chanpinxilie/jihuoshuang-35.html,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS80000107,52
http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSG0000012,http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSH0000013,96
http://www.chcedo.com/activity/activityDetail_4.htm,http://www.chcedo.com/activity/activityIndex.htm,12
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQP0000051,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQq0000025,15
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSG0000136,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSI0000140,45
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCS90000111,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSa0000112,48
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRG0000087,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRH0000088,64
http://www.chcedo.com/article/reviews.htm,http://www.chcedo.com/article/articleDetail.htm?aid=16617FTSH0000014,126
http://www.chcedo.com/product/productdetail.htm?pid=11717GFRc0000132,http://www.chcedo.com/product/productdetail.htm?pid=11717GFRb0000130,11
http://www.chcedo.com/product/productdetail.htm?pid=11717GFQS0000096,http://www.chcedo.com/product/productdetail.htm?pid=11717GFQQ0000092,10
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQK0000041,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCQK0000042,20
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSO0000152,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCSO0000153,38
http://www.chcedo.com/product/productdetail.htm?pid=15218FROp0004579,http://www.chcedo.com/product/productdetail.htm?pid=15218FROk0004520,28
http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRS0000095,http://www.chcedo.com/article/articleDetail.htm?aid=11717GCRU0000094,60
